"gene","logFC_106839","logFC_299945","avg_logFC","SE_106839","SE_299945","P_106839","P_299945","FDR_106839","FDR_299945","sig_106839","sig_299945","direction_consistent","category"
"DICER1",-0.726321899689881,-0.725568424784997,-0.725945162237439,0.149518906810316,0.151304367537904,0.000899329010484609,0.000668799873038297,0.00368580335811861,0.00133165166135193,TRUE,TRUE,TRUE,"Moderate"
"RPS6KA3",-0.64398924598706,-0.807895638259368,-0.725942442123214,0.123253602423242,0.114506749592591,0.000546072670900908,2.96757719163557e-05,0.00247491033238771,8.3958286786892e-05,TRUE,TRUE,TRUE,"Moderate"
"DERL3",-0.125292271317321,1.57660456062401,0.725656144653345,0.110209077973456,0.129199026297414,0.284966637738659,1.85877455395352e-07,0.37687980036672,1.21671099559113e-06,FALSE,TRUE,FALSE,"Moderate"
"RNF157",0.203929414339849,1.24733830669499,0.725633860517418,0.187049262131198,0.47560669144717,0.303940456210735,0.024895662703493,0.397472838251375,0.0355821481208069,FALSE,TRUE,TRUE,"Moderate"
"CCDC59",0.613390945564219,0.837352473474185,0.725371709519202,0.104600824869309,0.070019974711797,0.000239753759149389,2.26059825525579e-07,0.0013359524036311,1.41522869938409e-06,TRUE,TRUE,TRUE,"Moderate"
"DTNA",1.00457129646795,0.445943992353518,0.725257644410734,0.110095038780649,0.126987167352188,7.6423326467719e-06,0.00536304263217485,0.000117770305659228,0.00881340638810921,TRUE,TRUE,TRUE,"Moderate"
"FGFR2",-0.34367190314317,-1.10680273164445,-0.72523731739381,0.111976593597169,0.156777531552858,0.0133765798252255,2.95206243550805e-05,0.031194718029226,8.35474380503353e-05,TRUE,TRUE,TRUE,"Moderate"
"EXOC8",0.134920868719714,1.31546577411036,0.725193321415039,0.0890915198588606,0.0846574803654861,0.164230481086767,1.73369358360356e-08,0.239731507064702,2.02040135906376e-07,FALSE,TRUE,TRUE,"Moderate"
"TMX4",-0.508346728083352,-0.941734047482502,-0.725040387782927,0.0641194847570296,0.0510046043972291,2.38241893154217e-05,3.10087793304203e-09,0.000254386711801977,5.69667836869337e-08,TRUE,TRUE,TRUE,"Moderate"
"ST3GAL6",0.253250089395052,1.19565315767083,0.724451623532941,0.119443026237663,0.137392992952535,0.0630189513194542,4.54897820017589e-06,0.10896865113068,1.66558322786249e-05,FALSE,TRUE,TRUE,"Moderate"
"FHOD1",0.128425561584582,1.31908644481885,0.723756003201718,0.11149582013375,0.136658099496326,0.279071595071813,1.74073889645388e-06,0.370949194460385,7.4995274320343e-06,FALSE,TRUE,TRUE,"Moderate"
"NSUN5",0.634438281969074,0.81187350888601,0.723155895427542,0.130959907176519,0.116627419630439,0.000915939804750261,3.3339547191004e-05,0.0037338747660701,9.27063449718469e-05,TRUE,TRUE,TRUE,"Moderate"
